TIMETABLE I SEM 2025 -26,,,,,,,,,,,,
COMP CODE,COURSE NO.,COURSE TITLE,L,P,U,SEC,INSTRUCTOR_IN_CHARGE/INSTR UCTOR,ROOM,DAYS,HOUR S,MIDSEM,ENDSEM
,,,,,,,Prasanta Kumar Sahu,,,,,
880,CE G551,DYNAMICS OF STRUCTURES,3,1,4,L1,MOHAN S C,F201,M W F,2,06/10 - 11.30 - 1.00PM,01/12 AN
,,,,,,P1,Mohan S C,W111,M,89,,
526,CE G552,ADV STR MECH & STABILITY,3,1,4,L1,CHANDU PARIMI,F201,M W F,5,07/10 - 11.30 - 1.00PM,03/12 AN
,,,,,,P1,Chandu Parimi,D208 C,T,89,,
2199,CE G562,"ADVANCED CONCRETE
TECHNOLOGY",3,1,4,L1,ARKAMITRA KAR,F201,T Th,4,06/10 - 11.30 - 1.00PM,01/12 AN
,,,,,,,Arkamitra Kar,F201,W,7,,
,,,,,,P1,Arkamitra Kar,D127,M,89,,
2341,CE G569,TRANSPORTATION ECONOMICS,3,1,4,L1,ISHANT SHARMA,F203,M W F,3,08/10 -  1.30 - 3.00PM,06/12 FN
,,,,,,P1,Ishant Sharma,D224,W,89,,
2343,CE G571,ROAD ASSET MANAGEMENT,3,1,4,L1,SRIDHAR R,F203,T Th,4,09/10 -  1.30 - 3.00PM,09/12 FN
,,,,,,,Sridhar R,F203,W,7,,
,,,,,,P1,Sridhar R,W110,T,89,,
345,CE G612,ADVANCED STEEL STRUCTURE,3,1,4,L1,MOHAMMAD ADIL DAR,F202,M W F,5,07/10 - 11.30 - 1.00PM,03/12 AN
,,,,,,P1,Mohammad Adil Dar,D123,T,89,,
613,CE G614,PRESTRESS CONCRETE STRUC,3,1,4,L1,BAHURUDEEN A,F204,M W F,3,08/10 -  1.30 - 3.00PM,06/12 FN
,,,,,,P1,Bahurudeen A,D123,W,89,,
343,CE G617,ADVANCE STRUC ANALYSIS,3,1,4,L1,PATURU NEELAKANTESWARA RAO,F202,M W F,3,08/10 -  1.30 - 3.00PM,06/12 FN
,,,,,,P1,Paturu Neelakanteswara Rao,D208 C,W,89,,
326,CE G619,FINITE ELEMENT ANALYSIS,3,2,5,L1,P RAGHU,F201,T Th,5,09/10 -  1.30 - 3.00PM,09/12 FN
,,,,,,,P Raghu,F201,M,7,,
,,,,,,P1,P Raghu,D208 C,Th F,89,,
87,CE G620,ADVANCE FOUNDATION ENGG,3,1,4,L1,ANASUA GUHARAY,F203,T Th,5,09/10 -  1.30 - 3.00PM,09/12 FN
,,,,,,,Anasua Guharay,F203,M,7,,
,,,,,,P1,Anasua Guharay,D125,F,89,,
1069,CHE F211,CHEMICAL PROCESS CALCULA,3,0,3,L1,B NANDINI,F205,T Th,3,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,,B Nandini,F205,W,10,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,T1,B Nandini,F205,T,10,,
,,,,,,,Jashaswinee Swain,,,,,
1072,CHE F212,FLUID MECHANICS,3,0,3,L1,VIKRANTH KUMAR SURASANI,F205,M W F,4,08/10 - 11.30 - 1.00PM,05/12 AN
,,,,,,T1,Vikranth Kumar Surasani,F204,M,1,,
,,,,,,,Mattupalli Sai Soumya Sri,,,,,
1071,CHE F213,CHEM ENGG THERMODYNAMICS,3,0,3,L1,I SREEDHAR,F205,T Th,2,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,,I Sreedhar,F205,M,10,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,T1,I Sreedhar,F205,W,1,,
1070,CHE F214,ENGINEERING CHEMISTRY,3,0,3,L1,KARTHIK VENKATESHAN,F205,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Karthik Venkateshan,F205,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,T1,Karthik Venkateshan,F205,F,1,,
1653,CHE F266,STUDY PROJECT,0,0,3,,Arnab Dutta,,,,,
1184,CHE F311,KINETICS & REACTOR DESIGN,3,0,3,L1,DEBIRUPA MITRA,F205,M W F,5,08/10 - 1.30 - 3.00PM,06/12 FN
,,,,,,T1,Debirupa Mitra,F205,Th,10,,
,,,,,,,Sathish Kumar G,,,,,
1185,CHE F312,CHEMICAL ENGG LAB I,0,3,3,P1,BALAJI KRISHNAMURTHY,D228,T Th,7 8 9,,
,,,,,,,Sohini Das,,,,,
,,,,,,,Harinadha Guidituri,,,,,
,,,,,,P2,Srikanta Dinda,D228,T Th,7 8 9,,
,,,,,,,Narasimhan T A,,,,,
1186,CHE F313,SEPARATION PROCESSES II,3,0,3,L1,D PURNIMA,F205,M W F,3,06/10 - 3.30 - 5.00PM,02/12 AN
,,,,,,T1,D Purnima,F205,Th,1,,
,,,,,,,Chitturi Huldah Suharika,,,,,
1187,CHE F314,PROCESS DES PRINCIPLES I,3,0,3,L1,ARNAB DUTTA,D208 B,T Th,4,11/10 - 9.30 - 11.00AM,12/12 FN
,,,,,,,Arnab Dutta,D208 B,W,7,11/10 - 9.30 - 11.00AM,12/12 FN
,,,,,,T1,Arnab Dutta,D208 B,T,10,,
,,,,,,,Hrithika G,,,,,
1190,CHE F343,PROCESS DES PRINCIPLE II,3,0,3,L1,AMARTHALURI SATYAPAUL SINGH,G108,M W F,3,06/10 - 3.30 - 5.00PM,02/12 AN
,,,,,,T1,Amarthaluri Satyapaul Singh,G108,T,7,,
1668,CHE F366,LABORATORY PROJECT,0,0,3,,Arnab Dutta,,,,,
1738,CHE F367,LABORATORY PROJECT,0,0,3,,Arnab Dutta,,,,,
1687,CHE F376,DESIGN PROJECT,0,0,3,,Arnab Dutta,,,,,
1754,CHE F377,DESIGN PROJECT,0,0,3,,Arnab Dutta,,,,,
1206,CHE F411,ENVIR POLLUTION CONTROL,3,0,3,L1,SRIKANTA DINDA,F203,M W F,2,10/10 - 11.30 - 1.00PM,10/12 AN
,,,,,,,Mamilla Shree Veena,,,,,
1213,CHE F418,MODEL & SIMU IN CHE ENGG,3,0,3,L1,SRINIVAS APPARI,F204,M W F,4,08/10 - 9.30 - 11.00AM,05/12 FN
2178,CHE F422,PETRO. REFI. TECH.,3,0,3,L1,IYMAN ABRAR,F204,T Th,3,11/10 - 1.30 - 3.00PM,13/12 FN
,,,,,,,Iyman Abrar,F204,W,10,11/10 - 3.30 - 5.00PM,13/12 FN
847,CHE G522,POLYMER TECHNOLOGY,3,1,4,L1,D PURNIMA,F204,T Th,5,09/10 - 1.30 - 3.00PM,09/12 FN
,,,,,,,D Purnima,F204,F,7,,
,,,,,,P1,D Purnima,D226,W,89,,
,,,,,,,Prachi Bulbul,,,,,
2084,CHE G528,INTRO TO NANO SCI & TECH,3,1,4,L1,AMARTHALURI SATYAPAUL SINGH,F204,T Th,2,09/10 - 9.30 - 11.00AM,08/12 FN
,,,,,,,Amarthaluri Satyapaul Singh,F204,M,7,,
,,,,,,P1,Amarthaluri Satyapaul Singh,D226,F,89,,
,,,,,,,Y Lavanya,,,,,
2864,CHEM F101,FUNDAMENTALS OF CHEMISTRY,2,1,3,L1,Durba Roy,F102,T Th,5,07/10 - 1.30 - 3.00PM,04/12 FN
,,,,,,,ANUPAM BHATTACHARYA,,,,,
,,,,,,L2,Krishnan Rangan,F104,M,9,07/10 - 1.30 - 3.00PM,04/12 FN
,,,,,,,Tanmay Chatterjee,,,,,
,,,,,,,Krishnan Rangan,F104,F,10,,
,,,,,,,Tanmay Chatterjee,,,,,
,,,,,,T1,Anupam Bhattacharya,G101,T,1,,
,,,,,,,Wadkar Ajit Ganpatrao,,,,,
,,,,,,T2,Durba Roy,G102,T,1,,
,,,,,,,Amrutha Radhakrishnan,,,,,
,,,,,,T3,Krishnan Rangan,G103,T,1,,
,,,,,,,Kosana Sai Chaitanya,,,,,
,,,,,,T4,Tanmay Chatterjee,G104,T,1,,
,,,,,,,Dhurgam Rani,,,,,
,,,,,,T5,Manab Chakravarty,F201,T,1,,
,,,,,,,Avanigadda Madhu Niharika,,,,,
,,,,,,T6,Himanshu Aggarwal,F202,T,1,,
,,,,,,,Anagha H Nair,,,,,
,,,,,,T7,Satya Narayan Guin,F203,T,1,,
,,,,,,,Savita,,,,,
,,,,,,T8,Pralok Kumar Samanta,F204,T,1,,
,,,,,,,Sivasakthi P,,,,,
,,,,,,T9,Suryoday Prodhan,F205,T,1,,
,,,,,,,Saheba Khatun,,,,,
,,,,,,P1,ARIJIT MUKHERJEE,B126,M,78,,
,,,,,,,Bandana Sar,,,,,
,,,,,,,Mollah Rohan Ahsan,,,,,
,,,,,,P2,Balaji Gopalan,B126,W,78,,
,,,,,,,Bhushan Kishor Nandre,,,,,
,,,,,,,Sweta Agarwala,,,,,
,,,,,,P3,Abhishek Saha,B126,Th,910,,
,,,,,,,Dyagala Shalini,,,,,
,,,,,,,Rachel  Anjous,,,,,
,,,,,,P4,Durba Roy,B126,M,34,,
,,,,,,,Arpan Ghosh,,,,,
,,,,,,,Dinesh Kumar J,,,,,
,,,,,,P5,Krishnan Rangan,B126,T,34,,
,,,,,,,Shreya Sarkar,,,,,
,,,,,,,Suchashrita Mitra,,,,,
,,,,,,P6,Manab Chakravarty,B126,Th,78,,
,,,,,,,Arindam Nandy,,,,,
,,,,,,,Shivani Tripathi,,,,,
,,,,,,P7,Prakash Sista,B126,W,34,,
,,,,,,,Ankur Chanda,,,,,
,,,,,,,Supriya Swain,,,,,
,,,,,,P8,Sourav Bag,B126,Th,34,,
,,,,,,,Arya A,,,,,
,,,,,,,Vibhawari Pundir,,,,,
,,,,,,P9,Subbalakshmi Jayanty,B126,F,34,,
,,,,,,,Gade Kirth Reddy,,,,,
,,,,,,,Neha K Nambiar,,,,,
,,,,,,P10,Tanmay Chatterjee,B126,T,89,,
,,,,,,,Sai Keerthana H,,,,,
,,,,,,,Samiran Saha,,,,,
,,,,,,P11,Suryoday Prodhan,B126,F,78,,
,,,,,,,Jenifa Mehjebin,,,,,
,,,,,,,Pise Suraj Pundlik,,,,,
1116,CHEM F211,PHYSICAL CHEMISTRY I,3,0,3,L1,SUBIT KUMAR SAHA,G102,T Th,2,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,,Subit Kumar Saha,G102,M,10,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,T1,Subit Kumar Saha,G102,W,1,,
1117,CHEM F212,ORGANIC CHEMISTRY I,3,0,3,L1,MANAB CHAKRAVARTY,G102,M W F,4,08/10 - 11.30 - 1.00PM,05/12 AN
,,,,,,,Abhishek Saha,,,,,
,,,,,,T1,Manab Chakravarty,G102,T,10,,
,,,,,,,Abhishek Saha,,,,,
1118,CHEM F213,PHYSICAL CHEMISTRY II,3,0,3,L1,PRALOK KUMAR SAMANTA,G102,T Th,3,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,,Suryoday Prodhan,,,,,
,,,,,,,Pralok Kumar Samanta,G102,W,10,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,,Suryoday Prodhan,,,,,
,,,,,,T1,Pralok Kumar Samanta,G102,F,1,,
,,,,,,,Suryoday Prodhan,,,,,
1119,CHEM F214,INORGANIC CHEMISTRY I,3,0,3,L1,N RAJESH,G102,M W F,3,06/10 - 3.30 - 5.00PM,02/12 AN
,,,,,,T1,N Rajesh,G104,Th,10,,
1654,CHEM F266,STUDY PROJECT,0,0,3,,Pralok Kumar Samanta,,,,,
1559,CHEM F311,ORGANIC CHEMISTRY III,3,0,3,L1,K V G CHANDRA SEKHAR,G102,T W F,8,06/10 - 11.30 - 1.00PM,01/12 AN
,,,,,,T1,K V G Chandra Sekhar,I210,T,1,,
1560,CHEM F312,PHYSICAL CHEMISTRY IV,3,0,3,L1,AMIT NAG,G102,M W F,9,11/10 - 9.30 - 11.00AM,12/12 FN
,,,,,,T1,Amit Nag,F203,Th,1,,
1558,CHEM F313,INSTRU METHODS OF ANAL,3,1,4,L1,RAMAKRISHNAN GANESAN,G102,T Th,4,07/10 - 3.30 - 5.00PM,04/12 AN
,,,,,,,Nilanjan Dey,,,,,
,,,,,,,Ramakrishnan Ganesan,G102,F,10,11/10 - 9.30 - 11.00AM,12/12 FN
,,,,,,,Nilanjan Dey,,,,,
,,,,,,P1,Ramakrishnan Ganesan,B108,M,6 7 8,,
,,,,,,,A Anjana Krishnan,,,,,
,,,,,,,Akhil Chandran P,,,,,
,,,,,,,Anil Kumar B M,,,,,
,,,,,,,Anirban Biswas,,,,,
,,,,,,,Chanchal Chakraborty,,,,,
,,,,,,,Hibakhadeeja.m P,,,,,
,,,,,,,Himanshu Aggarwal,,,,,
,,,,,,,Nilanjan Dey,,,,,
,,,,,,,Pallabi Layek,,,,,
,,,,,,,Rikitha Sharyl Fernandes,,,,,
,,,,,,,Rittika Dhar,,,,,
,,,,,,,Sankho Subhra Samanta,,,,,
,,,,,,,Satya Narayan Guin,,,,,
,,,,,,,Sourav Mondal,,,,,
1572,CHEM F325,POLYMER CHEMISTRY,3,0,3,L1,CHANCHAL CHAKRABORTY,G103,T Th,2,09/10 - 9.30 - 11.00AM,08/12 FN
,,,,,,,Subbalakshmi Jayanty,,,,,
,,,,,,,Chanchal Chakraborty,G103,M,10,09/10 - 9.30 - 11.00AM,08/12 FN
,,,,,,,Subbalakshmi Jayanty,,,,,
1575,CHEM F326,SOLID STATE CHEMISTRY,3,0,3,L1,SOUNAK ROY,G102,M W F,2,10/10 - 11.30 - 1.00PM,10/12 AN
1669,CHEM F366,LABORATORY PROJECT,0,0,3,,Chanchal Chakraborty,,,,,
1739,CHEM F367,LABORATORY PROJECT,0,0,3,,Chanchal Chakraborty,,,,,
1688,CHEM F376,DESIGN PROJECT,0,0,3,,Amit Nag,,,,,
1755,CHEM F377,DESIGN PROJECT,0,0,3,,Amit Nag,,,,,
2564,CHEM F416,APPLIED CRYSTALLOGRAPHY,3,0,3,L1,ARIJIT MUKHERJEE,G103,M W F,4,08/10 - 9.30 - 11.00AM,05/12 FN
937,CHEM G553,ADVANCED PHYSICAL CHEMISTRY,3,0,5,L1,SOURAV BAG,G103,M W F,3,07/10 - 3.30 - 5.00PM,04/12 AN
242,CHEM G554,PHY METHODS IN CHEMISTRY,3,0,5,L1,SATYA NARAYAN GUIN,G103,M W F,2,06/10 - 11.30 - 1.00PM,01/12 AN
,,,,,,,Abhishek Saha,,,,,
,,,,,,,Nilanjan Dey,,,,,
1008,CS F111,COMPUTER PROGRAMMING,3,1,4,L1,ARUNA MALAPATI,F102,M W F,2,09/10 - 3.30 - 5.00PM,09/12 AN
,,,,,,L2,Dave Jay Kamlesh,F104,W F,9,09/10 - 3.30 - 5.00PM,09/12 AN
,,,,,,,Dave Jay Kamlesh,F104,T,7,,
,,,,,,P1,Aruna Malapati,D311,T,34,,
,,,,,,P2,Dave Jay Kamlesh,D311,F,34,,
,,,,,,P3,Dave Jay Kamlesh,D311,Th,910,,
,,,,,,P4,Sk Aziz Ali,D311,T,89,,
,,,,,,P5,Paresh Saxena,D311,W,78,,
,,,,,,P6,P K Thiruvikraman,D311,F,78,,
,,,,,,P7,P K Thiruvikraman,D311,Th,78,,
,,,,,,P8,Sai Lakshmi Radhika Tantravahi,D311,Th,34,,
,,,,,,P9,Supradeepan K,D311,M,34,,
,,,,,,P10,Pardha Saradhi Gurugubelli Venkata,D311,W,34,,
1095,CS F212,DATA BASE SYSTEMS,3,1,4,L1,J JABEZ CHRISTOPHER,F104,T Th,10,10/10 -  3.30 - 5.00PM,11/12 FN
,,,,,,,J Jabez Christopher,F104,F,7,10/10 -  3.30 - 5.00PM,11/12 FN
,,,,,,P1,Prajna Devi Upadhyay,D311,M,89,,
,,,,,,P2,Prajna Devi Upadhyay,D312,F,89,,
,,,,,,P3,Tba. Cs,D312,Th,89,,
1092,CS F213,OBJECT ORIENTED PROG,3,1,4,L1,SUBHRAKANTA PANDA,F102,T Th,3,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,,Subhrakanta Panda,F102,W,10,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,T1,Aneesh Srivallabh Chivukula,I221,F,1,,
,,,,,,T2,Aneesh Srivallabh Chivukula,J107,T,10,,
,,,,,,T3,Abhijit Das,J107,F,1,,
,,,,,,T4,Abhijit Das,J107,Th,10,,
,,,,,,P1,Subhrakanta Panda,D313,M,23,,
,,,,,,P2,Subhrakanta Panda,D313,W,67,,
,,,,,,P3,Subhrakanta Panda,D313,T,67,,
,,,,,,P4,Abhijit Das,D313,Th,67,,
,,,,,,P5,Aneesh Srivallabh Chivukula,D313,M,67,,
1090,CS F214,LOGIC IN COMPUTER SC,3,0,3,L1,TATHAGATA RAY,F102,T Th,2,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,,Tathagata Ray,F102,M,10,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,T1,Tathagata Ray,G106,M,1,,
,,,,,,T2,Tathagata Ray,G106,W,1,,
,,,,,,T3,Sameera Muhamed Salam,G105,W,1,,
,,,,,,T4,Sameera Muhamed Salam,G105,M,1,,
1093,CS F215,DIGITAL DESIGN,3,1,4,L1,S GURUNARAYANAN,F102,M W F,4,08/10 - 11.30 - 1.00PM,05/12 AN
,,,,,,L2,Prasant Kumar Pattnaik,F105,M W F,4,08/10 - 11.30 - 1.00PM,05/12 AN
,,,,,,L3,Meera Kumari,F103,M W F,4,08/10 - 11.30 - 1.00PM,05/12 AN
,,,,,,T1,Meera Kumari,G202,T,10,,
,,,,,,T2,Meera Kumari,G202,Th,10,,
,,,,,,T3,Prasant Kumar Pattnaik,G203,T,10,,
,,,,,,T4,Prasant Kumar Pattnaik,G203,Th,10,,
,,,,,,T5,Amit Kumar Panda,G204,T,10,,
,,,,,,T6,Soumya J,G204,Th,10,,
,,,,,,T7,Pranay Agarwal,G206,T,10,,
,,,,,,T8,Amit Kumar Panda,G206,Th,10,,
,,,,,,T9,Aalelai Vendhan M,G207,T,10,,
,,,,,,T10,Aalelai Vendhan M,G208,Th,10,,
,,,,,,P1,Kanika,I012,M,67,,
,,,,,,,Himanshu Singh,,,,,
,,,,,,,Nishchitha N K,,,,,
,,,,,,P2,Kanika,I012,W,67,,
,,,,,,,Gowthampolumati,,,,,
,,,,,,,Mou Sarkar,,,,,
,,,,,,P3,Prasant Kumar Pattnaik,I012,T,67,,
,,,,,,,Nishchitha N K,,,,,
,,,,,,,Sohel Siraj,,,,,
,,,,,,P4,Pranay Agarwal,I012,Th,67,,
,,,,,,,Sagnik Kundu,,,,,
,,,,,,,Yuvraj Maphrio Mao,,,,,
,,,,,,P5,Surya Shankar Dan,I013,M,67,,
,,,,,,,Baishali Paul,,,,,
,,,,,,,Sagnik Kundu,,,,,
,,,,,,P6,Chetan Kumar Vudadha,I012,M,23,,
,,,,,,,Abbidi Shivani Reddy,,,,,
,,,,,,,Aditi Sood,,,,,
,,,,,,P7,Meera Kumari,I013,Th,67,,
,,,,,,,Aditi Sood,,,,,
,,,,,,,Amgith G S,,,,,
,,,,,,P8,Meera Kumari,I013,T,67,,
,,,,,,,Kandi Mounika,,,,,
,,,,,,,Mou Sarkar,,,,,
,,,,,,P9,Himanshu Singh,I013,W,23,,
,,,,,,,Nongthombam Joychandra Singh,,,,,
,,,,,,P10,Gowthampolumati,I013,M,23,,
,,,,,,,Isha Basumatary,,,,,
,,,,,,P11,Sohel Siraj,I013,F,23,,
,,,,,,,Soppari Nithesh,,,,,
,,,,,,P12,Yadav Shubham Deepak,I012,T,45,,
,,,,,,,Yuvraj Maphrio Mao,,,,,
,,,,,,P13,Baishali Paul,I013,W,67,,
,,,,,,,Yadav Shubham Deepak,,,,,
,,,,,,P14,Abbidi Shivani Reddy,I013,T,45,,
,,,,,,,Soppari Nithesh,,,,,
,,,,,,P15,Amgith G S,I012,W,23,,
,,,,,,,Isha Basumatary,,,,,
,,,,,,P16,Nongthombam Joychandra Singh,I012,F,23,,
,,,,,,,Kandi Mounika,,,,,
1091,CS F222,DISCR STRUC FOR COMP SCI,3,0,3,L1,LALITA BHANU MURTHY NETI,F102,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Lalita Bhanu Murthy Neti,F102,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,T1,Lalita Bhanu Murthy Neti,G104,M,1,,
,,,,,,T2,Lalita Bhanu Murthy Neti,G104,W,1,,
,,,,,,T3,Apurba Das,G103,M,1,,
,,,,,,T4,Sajith P,I221,T,7,,
1655,CS F266,STUDY PROJECT,0,0,3,,Apurba Das,,,,,
1316,CS F301,PRINCIPLES OF PROGG LANG,2,0,2,L1,R GURURAJ,F102,M W,3,06/10 - 3.30 - 5.00PM,02/12 AN
,,,,,,T1,R Gururaj,I113,F,3,,
,,,,,,T2,R Gururaj,J217,T,7,,
,,,,,,T3,Tba. Cs,J217,Th,1,,
2266,CS F320,FOUNDATIONS OF DATA SCIENCE,3,0,3,L1,LALITA BHANU MURTHY NETI,F106,T Th,3,11/10 - 1.30 - 3.00PM,13/12 FN
,,,,,,,Lalita Bhanu Murthy Neti,F106,W,10,11/10 - 3.30 - 5.00PM,13/12 FN
12624,CS F321,SYSTEM SECURITY,3,0,3,L1,BARSHA MITRA,I210,M W F,2,10/10 - 11.30 - 1.00PM,10/12 AN
1317,CS F342,COMPUTER ARCHITECTURE,3,1,4,L1,RAJIB RANJAN MAITI,F102,M W F,5,08/10 - 1.30 - 3.00PM,06/12 FN
,,,,,,T1,Rajib Ranjan Maiti,I213,Th,7,,
,,,,,,T2,Rajib Ranjan Maiti,I211,T,1,,
,,,,,,T3,Nikumani Choudhury,J219,Th,7,,
,,,,,,T4,Nikumani Choudhury,I113,T,1,,
,,,,,,P1,Rajib Ranjan Maiti,D313,M,89,,
,,,,,,P2,Rajib Ranjan Maiti,D312,T,89,,
,,,,,,P3,Aritra Mukherjee,D313,W,89,,
,,,,,,P4,Aritra Mukherjee,D313,Th,89,,
1314,CS F351,THEORY OF COMPUTATION,3,0,3,L1,VENKATAKRISHNAN RAMASWAMY,F102,T Th,4,11/10 - 9.30 - 11.00AM,12/12 FN
,,,,,,,Venkatakrishnan Ramaswamy,F102,W,7,11/10 - 9.30 - 11.00AM,12/12 FN
,,,,,,T1,Venkatakrishnan Ramaswamy,I112,Th,7,,
,,,,,,T2,Venkatakrishnan Ramaswamy,I112,T,7,,
,,,,,,T3,Sameera Muhamed Salam,I113,T,7,,
,,,,,,T4,Sameera Muhamed Salam,I113,Th,7,,
1670,CS F366,LABORATORY PROJECT,0,0,3,,Apurba Das,,,,,
1740,CS F367,LABORATORY PROJECT,0,0,3,,Apurba Das,,,,,
1315,CS F372,OPERATING SYSTEMS,3,0,3,L1,DIPANJAN CHAKRABORTY,F102,T Th,6,09/10 - 1.30 - 3.00PM,09/12 FN
,,,,,,,Dipanjan Chakraborty,F102,M,7,09/10 - 1.30 - 3.00PM,09/12 FN
,,,,,,T1,Dipanjan Chakraborty,D313,T,1,,
,,,,,,T2,Dipanjan Chakraborty,D313,Th,1,,
,,,,,,T3,Barsha Mitra,D311,T,1,,
,,,,,,T4,Barsha Mitra,D311,Th,1,,
1689,CS F376,DESIGN PROJECT,0,0,3,,Apurba Das,,,,,
1756,CS F377,DESIGN PROJECT,0,0,3,,Apurba Das,,,,,
1333,CS F407,ARTIFICIAL INTELLIGENCE,3,0,3,L1,ABHIJIT DAS,F106,M W F,4,08/10 - 9.30 - 11.00AM,05/12 FN
2440,CS F425,DEEP LEARNING,3,0,3,L1,PARESH SAXENA,I112,T Th,2,09/10 - 9.30 - 11.00AM,08/12 FN
,,,,,,,Paresh Saxena,I112,M,10,09/10 - 9.30 - 11.00AM,08/12 FN
2444,CS F429,"NATURAL LANGUAGE
PROCESSING",3,0,3,L1,PRAJNA DEVI UPADHYAY,J121,M W F,1,04/10 - 3.30 - 5.00PM,16/12 FN
12626,CS F434,DATA SCIENCE FOR HEALTHCARE,3,0,3,L1,MANIK GUPTA,J120,M W F,1,04/10 - 3.30 - 5.00PM,16/12 FN
,CS F491,SPECIAL PROJECT,0,0,3,P1,APURBA DAS,,,,,
2449,CS G516,ADVANCED DATABASE SYSTEMS,3,1,4,L1,AKANKSHA RATHORE,I122,T Th,5,09/10 - 1.30 - 3.00PM,09/12 FN
,,,,,,,Akanksha Rathore,I122,F,7,,
,,,,,,P1,Akanksha Rathore,I015,M W,23,,
2451,CS G519,SOCIAL MEDIA ANALYTICS,3,1,4,L1,J JABEZ CHRISTOPHER,I112,T Th,3,11/10 -  1.30 - 3.00PM,13/12 FN
,,,,,,,J Jabez Christopher,I112,F,10,,
,,,,,,P1,J Jabez Christopher,I015,M W,67,,
2004,CS G525,ADV COMPUTER NETWORKS,3,2,5,L1,NIKUMANI CHOUDHURY,I222,M W F,3,06/10 - 11.30 - 1.00PM,01/12 AN
,,,,,,P1,Nikumani Choudhury,I015,M,89,,
2005,CS G526,ADV ALGORITHMS & COMPLEXITY,3,2,5,L1,APURBA DAS,I122,T Th,4,11/10 -  9.30 - 11.00AM,15/12 FN
,,,,,,,Apurba Das,I122,M,7,,
,,,,,,P1,Apurba Das,I015,Th,67,,
918,CS G553,RECONFIGURABLE COMPUTING,3,2,5,L1,CHETAN KUMAR VUDADHA,I212,T Th,2,06/10 - 11.30 - 1.00PM,01/12 AN
,,,,,,,Chetan Kumar Vudadha,I212,W,11,,
,,,,,,P1,Chetan Kumar Vudadha,I124,T Th,910,,
,,,,,,,Himanshi Awasthi,,,,,
,,,,,,P2,R Nandagopal,I124,M W,910,,
782,CS G623,ADVANCED OPERAT SYSTEMS,3,2,5,L1,G GEETHAKUMARI,I210,M W F,5,08/10 -  1.30 - 3.00PM,06/12 FN
,,,,,,P1,G Geethakumari,I015,T,67,,
436,DE G514,FRACTURE MECHANICS,3,2,5,L1,VUPPULURI AMOL,G204,M W F,3,08/10 -  1.30 - 3.00PM,06/12 FN
,,,,,,P1,Vuppuluri Amol,E220,T Th,67,,
362,DE G531,PRODUCT DESIGN,3,2,5,L1,NITIN RAMESHRAO KOTKUNDE,G207,T Th,3,06/10 - 11.30 - 1.00PM,01/12 AN
,,,,,,,Nitin Rameshrao Kotkunde,G207,Th,10,,
,,,,,,P1,Vicky Lad,D208 B,W F,89,,
678,DE G611,DYNAMICS & VIBRATION,3,2,5,L1,SABAREESH GEETHA RAJASEKHARAN,G204,T Th,4,10/10 -  3.30 - 5.00PM,11/12 FN
,,,,,,,Sabareesh Geetha Rajasekharan,G204,M,7,,
,,,,,,P1,Sabareesh Geetha Rajasekharan,D331B,M W,45,,
,,,,,,,Akashjyoti Barman,,,,,
625,DE G631,MATERIALS TECH AND TESTING,3,2,5,L1,RAVI SHANKER VIDYARTHY,G107,M W F,2,09/10 -  1.30 - 3.00PM,09/12 FN
,,,,,,P1,Danavath Balu,E004,M W,45,,
1380,ECE F211,ELECTRICAL MACHINES,3,1,4,L1,ANKUR BHATTACHARJEE,F105,T Th,2,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,,Ankur Bhattacharjee,F105,M,10,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,L2,Stp Srinivas,F104,T Th,2,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,,Neha Tak,,,,,
,,,,,,,Stp Srinivas,F104,M,10,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,,Neha Tak,,,,,
,,,,,,T1,Ankur Bhattacharjee,I111,W,1,,
,,,,,,T2,Ankur Bhattacharjee,I111,F,1,,
,,,,,,T3,Stp Srinivas,I112,W,1,,
,,,,,,T4,Neha Tak,I112,F,1,,
,,,,,,T5,R N Ponnalagu,I113,W,1,,
,,,,,,T6,R N Ponnalagu,I113,F,1,,
,,,,,,T7,Pratyush Chakraborty,I114,W,1,,
,,,,,,T8,Pratyush Chakraborty,I114,F,1,,
